part_id,part_name,part_type,parent_part_id,qty_per_unit,bom_level,material,material_grade,linked_commodity,supplier_id,supplier_name,supplier_tier,country,lat,lon,unit_price_inr,quality_adj_cost_inr,lead_time_days,capacity_per_week,incoming_defect_rate,china_dependency_pct,risk_score,iatf_certified,is_primary,qualification_effort,alternate_part_ids,used_in_assemblies,main_assembly,feature_tier_impact
EVSED-P,EV Sedan Performance,main_assembly,,1.0,0,vehicle,,,INH,In-house assy,-,IN,19.07,72.87,0.0,0.0,0,800,0.0,35,0.55,Yes,1,-,,,EVSED-P,
EVSED-E,EV Sedan Economy,main_assembly,,1.0,0,vehicle,,,INH,In-house assy,-,IN,19.07,72.87,0.0,0.0,0,1200,0.0,15,0.34,Yes,1,-,,,EVSED-E,
ICESED,ICE Sedan,main_assembly,,1.0,0,vehicle,,,INH,In-house assy,-,IN,19.07,72.87,0.0,0.0,0,1500,0.0,20,0.4,Yes,1,-,,,ICESED,
EVSUV,EV SUV,main_assembly,,1.0,0,vehicle,,,INH,In-house assy,-,IN,19.07,72.87,0.0,0.0,0,600,0.0,35,0.58,Yes,1,-,,,EVSUV,
ICEMPV,ICE MPV / Commercial,main_assembly,,1.0,0,vehicle,,,INH,In-house assy,-,IN,19.07,72.87,0.0,0.0,0,500,0.0,18,0.36,Yes,1,-,,,ICEMPV,
MTR-221,EV drive motor assembly,sub_assembly,,1.0,0,assembly,,,INH-EV,In-house,-,IN,13.08,80.27,0.0,0.0,0,1200,0.0,0,0.2,Yes,1,-,,,"EVSED-P,EVSED-E,EVSUV",
ROT-118,EV traction motor rotor,sub_assembly,MTR-221,1.0,1,assembly,,,JTEKT,JTEKT India,T1,IN,13.08,80.27,0.0,0.0,0,1200,0.0,0,0.74,Yes,1,-,,MTR-221,"EVSED-P,EVSED-E,EVSUV",
NM-005,NdFeB magnet,component,ROT-118,4.0,2,NdFeB,N42SH,RARE-EARTH,NDFEB-CN,NdFeB Co,T2,CN,23.13,113.26,1850.0,1889.68,12,4000,0.021,100,0.82,Yes,1,"NM-005-FE,NM-005-SM",,"ROT-118,MTR-221","EVSED-P,EVSUV",
NM-005,NdFeB magnet,component,ROT-118,4.0,2,NdFeB,N42SH,RARE-EARTH,SUNDRAM,Sundram Fasteners,T1,IN,13.08,80.27,1961.0,1972.84,15,542,0.006,0,0.34,Yes,0,"NM-005-FE,NM-005-SM",,"ROT-118,MTR-221","EVSED-P,EVSUV",
NM-005,NdFeB magnet,component,ROT-118,4.0,2,NdFeB,N42SH,RARE-EARTH,POSCO,POSCO ATEK,T1,KR,36.02,129.36,1887.0,1904.14,13,1000,0.009,0,0.45,Yes,0,"NM-005-FE,NM-005-SM",,"ROT-118,MTR-221","EVSED-P,EVSUV",
NM-005-FE,Ferrite magnet (substitute),component,ROT-118,6.0,2,Ferrite,Y40,,FERR-IN,Local ferrite,T2,IN,18.52,73.86,220.0,226.8,20,5000,0.03,0,0.4,Pend,0,NM-005,-18% torque density; lower-end trim,"ROT-118,MTR-221",EVSED-E,
